Brewer	Colour	Number	Type	Critical	Colour	Colour	R	G	B
1304	RdYlGn	11	Diverging	6	7	I	217	239	139
1305	RdYlGn	11	Diverging	6	8	J	166	217	106
1306	RdYlGn	11	Diverging	6	9	L	102	189	99
1307	RdYlGn	11	Diverging	6	10	N	26	152	80
1308	RdYlGn	11	Diverging	6	11	O	0	104	55
1459	Spectral	3	Diverging	2	1	E	252	141	89
1460	Spectral	3	Diverging	2	2	H	255	255	191
1461	Spectral	3	Diverging	2	3	K	153	213	148
1462	Spectral	4	Diverging	2.5	1	C	215	25	28
1463	Spectral	4	Diverging	2.5	2	F	253	174	97
1464	Spectral	4	Diverging	2.5	3	J	171	221	164
1465	Spectral	4	Diverging	2.5	4	M	43	131	186
1466	Spectral	5	Diverging	3	1	C	215	25	28
1467	Spectral	5	Diverging	3	2	F	253	174	97
1468	Spectral	5	Diverging	3	3	H	255	255	191
1469	Spectral	5	Diverging	3	4	J	171	221	164
1470	Spectral	5	Diverging	3	5	M	43	131	186
1471	Spectral	6	Diverging	3.5	1	B	213	62	79
1472	Spectral	6	Diverging	3.5	2	E	252	141	89
1473	Spectral	6	Diverging	3.5	3	G	254	224	139
1474	Spectral	6	Diverging	3.5	4	I	230	245	152
1475	Spectral	6	Diverging	3.5	5	K	153	213	148
1476	Spectral	6	Diverging	3.5	6	N	50	136	189
1477	Spectral	7	Diverging	4	1	B	213	62	79
1478	Spectral	7	Diverging	4	2	E	252	141	89
1479	Spectral	7	Diverging	4	3	G	254	224	139
1480	Spectral	7	Diverging	4	4	H	255	255	191
1481	Spectral	7	Diverging	4	5	I	230	245	152
1482	Spectral	7	Diverging	4	6	K	153	213	148
1483	Spectral	7	Diverging	4	7	N	50	136	189
1484	Spectral	8	Diverging	4.5	1	B	213	62	79
1485	Spectral	8	Diverging	4.5	2	D	244	109	67
1486	Spectral	8	Diverging	4.5	3	F	253	174	97
1487	Spectral	8	Diverging	4.5	4	G	254	224	139
1488	Spectral	8	Diverging	4.5	5	I	230	245	152
1489	Spectral	8	Diverging	4.5	6	J	171	221	164
1490	Spectral	8	Diverging	4.5	7	L	102	194	165
1491	Spectral	8	Diverging	4.5	8	N	50	136	189
1492	Spectral	9	Diverging	5	1	B	213	62	79
1493	Spectral	9	Diverging	5	2	D	244	109	67
1494	Spectral	9	Diverging	5	3	F	253	174	97
1495	Spectral	9	Diverging	5	4	G	254	224	139
1496	Spectral	9	Diverging	5	5	H	255	255	191
1497	Spectral	9	Diverging	5	6	I	230	245	152
1498	Spectral	9	Diverging	5	7	J	171	221	164
1499	Spectral	9	Diverging	5	8	L	102	194	165
1500	Spectral	9	Diverging	5	9	N	50	136	189
1501	Spectral	10	Diverging	5.5	1	A	158	1	66
1502	Spectral	10	Diverging	5.5	2	B	213	62	79
1503	Spectral	10	Diverging	5.5	3	D	244	109	67
1504	Spectral	10	Diverging	5.5	4	F	253	174	97
1505	Spectral	10	Diverging	5.5	5	G	254	224	139
1506	Spectral	10	Diverging	5.5	6	I	230	245	152
1507	Spectral	10	Diverging	5.5	7	J	171	221	164
1508	Spectral	10	Diverging	5.5	8	L	102	194	165
1509	Spectral	10	Diverging	5.5	9	N	50	136	189
1510	Spectral	10	Diverging	5.5	10	O	94	79	162
1511	Spectral	11	Diverging	6	1	A	158	1	66
1512	Spectral	11	Diverging	6	2	B	213	62	79
1513	Spectral	11	Diverging	6	3	D	244	109	67
1514	Spectral	11	Diverging	6	4	F	253	174	97
1515	Spectral	11	Diverging	6	5	G	254	224	139
1516	Spectral	11	Diverging	6	6	H	255	255	191
1517	Spectral	11	Diverging	6	7	I	230	245	152
1518	Spectral	11	Diverging	6	8	J	171	221	164
1519	Spectral	11	Diverging	6	9	L	102	194	165
1520	Spectral	11	Diverging	6	10	N	50	136	189
1521	Spectral	11	Diverging	6	11	O	94	79	162
1	Accent	3	Qualitative	0	1	A	127	201	127
2	Accent	3	Qualitative	0	2	B	190	174	212
3	Accent	3	Qualitative	0	3	C	253	192	134
4	Accent	4	Qualitative	0	1	A	127	201	127
5	Accent	4	Qualitative	0	2	B	190	174	212
6	Accent	4	Qualitative	0	3	C	253	192	134
7	Accent	4	Qualitative	0	4	D	255	255	153
8	Accent	5	Qualitative	0	1	A	127	201	127
9	Accent	5	Qualitative	0	2	B	190	174	212
10	Accent	5	Qualitative	0	3	C	253	192	134
11	Accent	5	Qualitative	0	4	D	255	255	153
12	Accent	5	Qualitative	0	5	E	56	108	176
13	Accent	6	Qualitative	0	1	A	127	201	127
14	Accent	6	Qualitative	0	2	B	190	174	212
15	Accent	6	Qualitative	0	3	C	253	192	134
16	Accent	6	Qualitative	0	4	D	255	255	153
17	Accent	6	Qualitative	0	5	E	56	108	176
18	Accent	6	Qualitative	0	6	F	240	2	127
19	Accent	7	Qualitative	0	1	A	127	201	127
20	Accent	7	Qualitative	0	2	B	190	174	212
21	Accent	7	Qualitative	0	3	C	253	192	134
22	Accent	7	Qualitative	0	4	D	255	255	153
23	Accent	7	Qualitative	0	5	E	56	108	176
24	Accent	7	Qualitative	0	6	F	240	2	127
25	Accent	7	Qualitative	0	7	G	191	91	23
26	Accent	8	Qualitative	0	1	A	127	201	127
27	Accent	8	Qualitative	0	2	B	190	174	212
28	Accent	8	Qualitative	0	3	C	253	192	134
29	Accent	8	Qualitative	0	4	D	255	255	153
30	Accent	8	Qualitative	0	5	E	56	108	176
31	Accent	8	Qualitative	0	6	F	240	2	127
32	Accent	8	Qualitative	0	7	G	191	91	23
33	Accent	8	Qualitative	0	8	H	102	102	102
223	Dark2	3	Qualitative	6	1	A	27	158	119
224	Dark2	3	Qualitative	6	2	B	217	95	2
225	Dark2	3	Qualitative	6	3	C	117	112	179
226	Dark2	4	Qualitative	6	1	A	27	158	119
227	Dark2	4	Qualitative	6	2	B	217	95	2
228	Dark2	4	Qualitative	6	3	C	117	112	179
229	Dark2	4	Qualitative	6	4	D	231	41	138
230	Dark2	5	Qualitative	6	1	A	27	158	119
231	Dark2	5	Qualitative	6	2	B	217	95	2
232	Dark2	5	Qualitative	6	3	C	117	112	179
233	Dark2	5	Qualitative	6	4	D	231	41	138
234	Dark2	5	Qualitative	6	5	E	102	166	30
235	Dark2	6	Qualitative	6	1	A	27	158	119
236	Dark2	6	Qualitative	6	2	B	217	95	2
237	Dark2	6	Qualitative	6	3	C	117	112	179
238	Dark2	6	Qualitative	6	4	D	231	41	138
239	Dark2	6	Qualitative	6	5	E	102	166	30
240	Dark2	6	Qualitative	6	6	F	230	171	2
241	Dark2	7	Qualitative	6	1	A	27	158	119
242	Dark2	7	Qualitative	6	2	B	217	95	2
243	Dark2	7	Qualitative	6	3	C	117	112	179
244	Dark2	7	Qualitative	6	4	D	231	41	138
245	Dark2	7	Qualitative	6	5	E	102	166	30
246	Dark2	7	Qualitative	6	6	F	230	171	2
247	Dark2	7	Qualitative	6	7	G	166	118	29
248	Dark2	8	Qualitative	6	1	A	27	158	119
249	Dark2	8	Qualitative	6	2	B	217	95	2
250	Dark2	8	Qualitative	6	3	C	117	112	179
251	Dark2	8	Qualitative	6	4	D	231	41	138
252	Dark2	8	Qualitative	6	5	E	102	166	30
253	Dark2	8	Qualitative	6	6	F	230	171	2
254	Dark2	8	Qualitative	6	7	G	166	118	29
255	Dark2	8	Qualitative	6	8	H	102	102	102
466	Paired	3	Qualitative	6	1	A	166	206	227
467	Paired	3	Qualitative	6	2	B	31	120	180
468	Paired	3	Qualitative	6	3	C	178	223	138
469	Paired	4	Qualitative	6	1	A	166	206	227
470	Paired	4	Qualitative	6	2	B	31	120	180
471	Paired	4	Qualitative	6	3	C	178	223	138
472	Paired	4	Qualitative	6	4	D	51	160	44
473	Paired	5	Qualitative	6	1	A	166	206	227
474	Paired	5	Qualitative	6	2	B	31	120	180
475	Paired	5	Qualitative	6	3	C	178	223	138
476	Paired	5	Qualitative	6	4	D	51	160	44
477	Paired	5	Qualitative	6	5	E	251	154	153
478	Paired	6	Qualitative	6	1	A	166	206	227
479	Paired	6	Qualitative	6	2	B	31	120	180
480	Paired	6	Qualitative	6	3	C	178	223	138
481	Paired	6	Qualitative	6	4	D	51	160	44
482	Paired	6	Qualitative	6	5	E	251	154	153
483	Paired	6	Qualitative	6	6	F	227	26	28
484	Paired	7	Qualitative	6	1	A	166	206	227
485	Paired	7	Qualitative	6	2	B	31	120	180
486	Paired	7	Qualitative	6	3	C	178	223	138
487	Paired	7	Qualitative	6	4	D	51	160	44
488	Paired	7	Qualitative	6	5	E	251	154	153
489	Paired	7	Qualitative	6	6	F	227	26	28
490	Paired	7	Qualitative	6	7	G	253	191	111
491	Paired	8	Qualitative	6	1	A	166	206	227
492	Paired	8	Qualitative	6	2	B	31	120	180
493	Paired	8	Qualitative	6	3	C	178	223	138
494	Paired	8	Qualitative	6	4	D	51	160	44
495	Paired	8	Qualitative	6	5	E	251	154	153
496	Paired	8	Qualitative	6	6	F	227	26	28
497	Paired	8	Qualitative	6	7	G	253	191	111
498	Paired	8	Qualitative	6	8	H	255	127	0
499	Paired	9	Qualitative	6	1	A	166	206	227
500	Paired	9	Qualitative	6	2	B	31	120	180
501	Paired	9	Qualitative	6	3	C	178	223	138
502	Paired	9	Qualitative	6	4	D	51	160	44
503	Paired	9	Qualitative	6	5	E	251	154	153
504	Paired	9	Qualitative	6	6	F	227	26	28
505	Paired	9	Qualitative	6	7	G	253	191	111
506	Paired	9	Qualitative	6	8	H	255	127	0
507	Paired	9	Qualitative	6	9	I	202	178	214
508	Paired	10	Qualitative	6	1	A	166	206	227
509	Paired	10	Qualitative	6	2	B	31	120	180
510	Paired	10	Qualitative	6	3	C	178	223	138
511	Paired	10	Qualitative	6	4	D	51	160	44
512	Paired	10	Qualitative	6	5	E	251	154	153
513	Paired	10	Qualitative	6	6	F	227	26	28
514	Paired	10	Qualitative	6	7	G	253	191	111
515	Paired	10	Qualitative	6	8	H	255	127	0
516	Paired	10	Qualitative	6	9	I	202	178	214
517	Paired	10	Qualitative	6	10	J	106	61	154
518	Paired	11	Qualitative	6	1	A	166	206	227
519	Paired	11	Qualitative	6	2	B	31	120	180
520	Paired	11	Qualitative	6	3	C	178	223	138
521	Paired	11	Qualitative	6	4	D	51	160	44
522	Paired	11	Qualitative	6	5	E	251	154	153
523	Paired	11	Qualitative	6	6	F	227	26	28
524	Paired	11	Qualitative	6	7	G	253	191	111
525	Paired	11	Qualitative	6	8	H	255	127	0
526	Paired	11	Qualitative	6	9	I	202	178	214
527	Paired	11	Qualitative	6	10	J	106	61	154
528	Paired	11	Qualitative	6	11	K	255	255	153
529	Paired	12	Qualitative	6	1	A	166	206	227
530	Paired	12	Qualitative	6	2	B	31	120	180
531	Paired	12	Qualitative	6	3	C	178	223	138
532	Paired	12	Qualitative	6	4	D	51	160	44
533	Paired	12	Qualitative	6	5	E	251	154	153
534	Paired	12	Qualitative	6	6	F	227	26	28
535	Paired	12	Qualitative	6	7	G	253	191	111
536	Paired	12	Qualitative	6	8	H	255	127	0
537	Paired	12	Qualitative	6	9	I	202	178	214
538	Paired	12	Qualitative	6	10	J	106	61	154
539	Paired	12	Qualitative	6	11	K	255	255	153
540	Paired	12	Qualitative	6	12	L	177	89	40
541	Pastel1	3	Qualitative	6	1	A	251	180	174
542	Pastel1	3	Qualitative	6	2	B	179	205	227
543	Pastel1	3	Qualitative	6	3	C	204	235	197
544	Pastel1	4	Qualitative	6	1	A	251	180	174
545	Pastel1	4	Qualitative	6	2	B	179	205	227
546	Pastel1	4	Qualitative	6	3	C	204	235	197
547	Pastel1	4	Qualitative	6	4	D	222	203	228
548	Pastel1	5	Qualitative	6	1	A	251	180	174
549	Pastel1	5	Qualitative	6	2	B	179	205	227
550	Pastel1	5	Qualitative	6	3	C	204	235	197
551	Pastel1	5	Qualitative	6	4	D	222	203	228
552	Pastel1	5	Qualitative	6	5	E	254	217	166
553	Pastel1	6	Qualitative	6	1	A	251	180	174
554	Pastel1	6	Qualitative	6	2	B	179	205	227
555	Pastel1	6	Qualitative	6	3	C	204	235	197
556	Pastel1	6	Qualitative	6	4	D	222	203	228
557	Pastel1	6	Qualitative	6	5	E	254	217	166
558	Pastel1	6	Qualitative	6	6	F	255	255	204
559	Pastel1	7	Qualitative	6	1	A	251	180	174
560	Pastel1	7	Qualitative	6	2	B	179	205	227
561	Pastel1	7	Qualitative	6	3	C	204	235	197
562	Pastel1	7	Qualitative	6	4	D	222	203	228
563	Pastel1	7	Qualitative	6	5	E	254	217	166
564	Pastel1	7	Qualitative	6	6	F	255	255	204
565	Pastel1	7	Qualitative	6	7	G	229	216	189
566	Pastel1	8	Qualitative	6	1	A	251	180	174
567	Pastel1	8	Qualitative	6	2	B	179	205	227
568	Pastel1	8	Qualitative	6	3	C	204	235	197
569	Pastel1	8	Qualitative	6	4	D	222	203	228
570	Pastel1	8	Qualitative	6	5	E	254	217	166
571	Pastel1	8	Qualitative	6	6	F	255	255	204
572	Pastel1	8	Qualitative	6	7	G	229	216	189
573	Pastel1	8	Qualitative	6	8	H	253	218	236
574	Pastel1	9	Qualitative	6	1	A	251	180	174
575	Pastel1	9	Qualitative	6	2	B	179	205	227
576	Pastel1	9	Qualitative	6	3	C	204	235	197
577	Pastel1	9	Qualitative	6	4	D	222	203	228
578	Pastel1	9	Qualitative	6	5	E	254	217	166
579	Pastel1	9	Qualitative	6	6	F	255	255	204
580	Pastel1	9	Qualitative	6	7	G	229	216	189
581	Pastel1	9	Qualitative	6	8	H	253	218	236
582	Pastel1	9	Qualitative	6	9	I	242	242	242
583	Pastel2	3	Qualitative	6	1	A	179	226	205
584	Pastel2	3	Qualitative	6	2	B	253	205	172
585	Pastel2	3	Qualitative	6	3	C	203	213	232
586	Pastel2	4	Qualitative	6	1	A	179	226	205
587	Pastel2	4	Qualitative	6	2	B	253	205	172
588	Pastel2	4	Qualitative	6	3	C	203	213	232
589	Pastel2	4	Qualitative	6	4	D	244	202	228
590	Pastel2	5	Qualitative	6	1	A	179	226	205
591	Pastel2	5	Qualitative	6	2	B	253	205	172
592	Pastel2	5	Qualitative	6	3	C	203	213	232
593	Pastel2	5	Qualitative	6	4	D	244	202	228
594	Pastel2	5	Qualitative	6	5	E	230	245	201
595	Pastel2	6	Qualitative	6	1	A	179	226	205
596	Pastel2	6	Qualitative	6	2	B	253	205	172
597	Pastel2	6	Qualitative	6	3	C	203	213	232
598	Pastel2	6	Qualitative	6	4	D	244	202	228
599	Pastel2	6	Qualitative	6	5	E	230	245	201
600	Pastel2	6	Qualitative	6	6	F	255	242	174
601	Pastel2	7	Qualitative	6	1	A	179	226	205
602	Pastel2	7	Qualitative	6	2	B	253	205	172
603	Pastel2	7	Qualitative	6	3	C	203	213	232
604	Pastel2	7	Qualitative	6	4	D	244	202	228
605	Pastel2	7	Qualitative	6	5	E	230	245	201
606	Pastel2	7	Qualitative	6	6	F	255	242	174
607	Pastel2	7	Qualitative	6	7	G	241	226	204
608	Pastel2	8	Qualitative	6	1	A	179	226	205
609	Pastel2	8	Qualitative	6	2	B	253	205	172
610	Pastel2	8	Qualitative	6	3	C	203	213	232
611	Pastel2	8	Qualitative	6	4	D	244	202	228
612	Pastel2	8	Qualitative	6	5	E	230	245	201
613	Pastel2	8	Qualitative	6	6	F	255	242	174
614	Pastel2	8	Qualitative	6	7	G	241	226	204
615	Pastel2	8	Qualitative	6	8	H	204	204	204
1309	Set1	3	Qualitative	6	1	A	228	26	28
1310	Set1	3	Qualitative	6	2	B	55	126	184
1311	Set1	3	Qualitative	6	3	C	77	175	74
1312	Set1	4	Qualitative	6	1	A	228	26	28
1313	Set1	4	Qualitative	6	2	B	55	126	184
1314	Set1	4	Qualitative	6	3	C	77	175	74
1315	Set1	4	Qualitative	6	4	D	152	78	163
1316	Set1	5	Qualitative	6	1	A	228	26	28
1317	Set1	5	Qualitative	6	2	B	55	126	184
1318	Set1	5	Qualitative	6	3	C	77	175	74
1319	Set1	5	Qualitative	6	4	D	152	78	163
1320	Set1	5	Qualitative	6	5	E	255	127	0
1321	Set1	6	Qualitative	6	1	A	228	26	28
1322	Set1	6	Qualitative	6	2	B	55	126	184
1323	Set1	6	Qualitative	6	3	C	77	175	74
1324	Set1	6	Qualitative	6	4	D	152	78	163
1325	Set1	6	Qualitative	6	5	E	255	127	0
1326	Set1	6	Qualitative	6	6	F	255	255	51
1327	Set1	7	Qualitative	6	1	A	228	26	28
1328	Set1	7	Qualitative	6	2	B	55	126	184
1329	Set1	7	Qualitative	6	3	C	77	175	74
1330	Set1	7	Qualitative	6	4	D	152	78	163
1331	Set1	7	Qualitative	6	5	E	255	127	0
1332	Set1	7	Qualitative	6	6	F	255	255	51
1333	Set1	7	Qualitative	6	7	G	166	86	40
1334	Set1	8	Qualitative	6	1	A	228	26	28
1335	Set1	8	Qualitative	6	2	B	55	126	184
1336	Set1	8	Qualitative	6	3	C	77	175	74
1337	Set1	8	Qualitative	6	4	D	152	78	163
1338	Set1	8	Qualitative	6	5	E	255	127	0
1339	Set1	8	Qualitative	6	6	F	255	255	51
1340	Set1	8	Qualitative	6	7	G	166	86	40
1341	Set1	8	Qualitative	6	8	H	247	129	191
1342	Set1	9	Qualitative	6	1	A	228	26	28
1343	Set1	9	Qualitative	6	2	B	55	126	184
1344	Set1	9	Qualitative	6	3	C	77	175	74
1345	Set1	9	Qualitative	6	4	D	152	78	163
1346	Set1	9	Qualitative	6	5	E	255	127	0
1347	Set1	9	Qualitative	6	6	F	255	255	51
1348	Set1	9	Qualitative	6	7	G	166	86	40
1349	Set1	9	Qualitative	6	8	H	247	129	191
1350	Set1	9	Qualitative	6	9	I	153	153	153
1351	Set2	3	Qualitative	6	1	A	102	194	165
1352	Set2	3	Qualitative	6	2	B	252	141	98
1353	Set2	3	Qualitative	6	3	C	141	160	203
1354	Set2	4	Qualitative	6	1	A	102	194	165
1355	Set2	4	Qualitative	6	2	B	252	141	98
1356	Set2	4	Qualitative	6	3	C	141	160	203
1357	Set2	4	Qualitative	6	4	D	231	138	195
1358	Set2	5	Qualitative	6	1	A	102	194	165
1359	Set2	5	Qualitative	6	2	B	252	141	98
1360	Set2	5	Qualitative	6	3	C	141	160	203
1361	Set2	5	Qualitative	6	4	D	231	138	195
1362	Set2	5	Qualitative	6	5	E	166	216	84
1363	Set2	6	Qualitative	6	1	A	102	194	165
1364	Set2	6	Qualitative	6	2	B	252	141	98
1365	Set2	6	Qualitative	6	3	C	141	160	203
1366	Set2	6	Qualitative	6	4	D	231	138	195
1367	Set2	6	Qualitative	6	5	E	166	216	84
1368	Set2	6	Qualitative	6	6	F	255	217	47
1369	Set2	7	Qualitative	6	1	A	102	194	165
1370	Set2	7	Qualitative	6	2	B	252	141	98
1371	Set2	7	Qualitative	6	3	C	141	160	203
1372	Set2	7	Qualitative	6	4	D	231	138	195
1373	Set2	7	Qualitative	6	5	E	166	216	84
1374	Set2	7	Qualitative	6	6	F	255	217	47
1375	Set2	7	Qualitative	6	7	G	229	196	148
1376	Set2	8	Qualitative	6	1	A	102	194	165
1377	Set2	8	Qualitative	6	2	B	252	141	98
1378	Set2	8	Qualitative	6	3	C	141	160	203
1379	Set2	8	Qualitative	6	4	D	231	138	195
1380	Set2	8	Qualitative	6	5	E	166	216	84
1381	Set2	8	Qualitative	6	6	F	255	217	47
1382	Set2	8	Qualitative	6	7	G	229	196	148
1383	Set2	8	Qualitative	6	8	H	179	179	179
1384	Set3	3	Qualitative	6	1	A	141	211	199
1385	Set3	3	Qualitative	6	2	B	255	255	179
1386	Set3	3	Qualitative	6	3	C	190	186	218
1387	Set3	4	Qualitative	6	1	A	141	211	199
1388	Set3	4	Qualitative	6	2	B	255	255	179
1389	Set3	4	Qualitative	6	3	C	190	186	218
1390	Set3	4	Qualitative	6	4	D	251	128	114
1391	Set3	5	Qualitative	6	1	A	141	211	199
1392	Set3	5	Qualitative	6	2	B	255	255	179
1393	Set3	5	Qualitative	6	3	C	190	186	218
1394	Set3	5	Qualitative	6	4	D	251	128	114
1395	Set3	5	Qualitative	6	5	E	128	177	211
1396	Set3	6	Qualitative	6	1	A	141	211	199
1397	Set3	6	Qualitative	6	2	B	255	255	179
1398	Set3	6	Qualitative	6	3	C	190	186	218
1399	Set3	6	Qualitative	6	4	D	251	128	114
1400	Set3	6	Qualitative	6	5	E	128	177	211
1401	Set3	6	Qualitative	6	6	F	253	180	98
1402	Set3	7	Qualitative	6	1	A	141	211	199
1403	Set3	7	Qualitative	6	2	B	255	255	179
1404	Set3	7	Qualitative	6	3	C	190	186	218
1405	Set3	7	Qualitative	6	4	D	251	128	114
1406	Set3	7	Qualitative	6	5	E	128	177	211
1407	Set3	7	Qualitative	6	6	F	253	180	98
1408	Set3	7	Qualitative	6	7	G	179	222	105
1409	Set3	8	Qualitative	6	1	A	141	211	199
1410	Set3	8	Qualitative	6	2	B	255	255	179
1411	Set3	8	Qualitative	6	3	C	190	186	218
1412	Set3	8	Qualitative	6	4	D	251	128	114
1413	Set3	8	Qualitative	6	5	E	128	177	211
1414	Set3	8	Qualitative	6	6	F	253	180	98
1415	Set3	8	Qualitative	6	7	G	179	222	105
1416	Set3	8	Qualitative	6	8	H	252	205	229
1417	Set3	9	Qualitative	6	1	A	141	211	199
1418	Set3	9	Qualitative	6	2	B	255	255	179
1419	Set3	9	Qualitative	6	3	C	190	186	218
1420	Set3	9	Qualitative	6	4	D	251	128	114
1421	Set3	9	Qualitative	6	5	E	128	177	211
1422	Set3	9	Qualitative	6	6	F	253	180	98
1423	Set3	9	Qualitative	6	7	G	179	222	105
1424	Set3	9	Qualitative	6	8	H	252	205	229
1425	Set3	9	Qualitative	6	9	I	217	217	217
1426	Set3	10	Qualitative	6	1	A	141	211	199
1427	Set3	10	Qualitative	6	2	B	255	255	179
1428	Set3	10	Qualitative	6	3	C	190	186	218
1429	Set3	10	Qualitative	6	4	D	251	128	114
1430	Set3	10	Qualitative	6	5	E	128	177	211
1431	Set3	10	Qualitative	6	6	F	253	180	98
1432	Set3	10	Qualitative	6	7	G	179	222	105
1433	Set3	10	Qualitative	6	8	H	252	205	229
1434	Set3	10	Qualitative	6	9	I	217	217	217
1435	Set3	10	Qualitative	6	10	J	188	128	189
1436	Set3	11	Qualitative	6	1	A	141	211	199
1437	Set3	11	Qualitative	6	2	B	255	255	179
1438	Set3	11	Qualitative	6	3	C	190	186	218
1439	Set3	11	Qualitative	6	4	D	251	128	114
1440	Set3	11	Qualitative	6	5	E	128	177	211
1441	Set3	11	Qualitative	6	6	F	253	180	98
1442	Set3	11	Qualitative	6	7	G	179	222	105
1443	Set3	11	Qualitative	6	8	H	252	205	229
1444	Set3	11	Qualitative	6	9	I	217	217	217
1445	Set3	11	Qualitative	6	10	J	188	128	189
1446	Set3	11	Qualitative	6	11	K	204	235	197
1447	Set3	12	Qualitative	6	1	A	141	211	199
1448	Set3	12	Qualitative	6	2	B	255	255	179
1449	Set3	12	Qualitative	6	3	C	190	186	218
1450	Set3	12	Qualitative	6	4	D	251	128	114
1451	Set3	12	Qualitative	6	5	E	128	177	211
1452	Set3	12	Qualitative	6	6	F	253	180	98
1453	Set3	12	Qualitative	6	7	G	179	222	105
1454	Set3	12	Qualitative	6	8	H	252	205	229
1455	Set3	12	Qualitative	6	9	I	217	217	217
1456	Set3	12	Qualitative	6	10	J	188	128	189
1457	Set3	12	Qualitative	6	11	K	204	235	197
1458	Set3	12	Qualitative	6	12	L	255	237	111
34	Blues	3	Sequential	0	1	C	222	235	247
35	Blues	3	Sequential	0	2	F	158	202	225
36	Blues	3	Sequential	0	3	I	49	130	189
37	Blues	4	Sequential	0	1	B	239	243	255
38	Blues	4	Sequential	0	2	E	189	215	231
39	Blues	4	Sequential	0	3	G	107	174	214
40	Blues	4	Sequential	0	4	J	33	113	181
41	Blues	5	Sequential	0	1	B	239	243	255
42	Blues	5	Sequential	0	2	E	189	215	231
43	Blues	5	Sequential	0	3	G	107	174	214
44	Blues	5	Sequential	0	4	I	49	130	189
45	Blues	5	Sequential	0	5	K	8	81	156
46	Blues	6	Sequential	0	1	B	239	243	255
47	Blues	6	Sequential	0	2	D	198	219	239
48	Blues	6	Sequential	0	3	F	158	202	225
49	Blues	6	Sequential	0	4	G	107	174	214
50	Blues	6	Sequential	0	5	I	49	130	189
51	Blues	6	Sequential	0	6	K	8	81	156
52	Blues	7	Sequential	0	1	B	239	243	255
53	Blues	7	Sequential	0	2	D	198	219	239
54	Blues	7	Sequential	0	3	F	158	202	225
55	Blues	7	Sequential	0	4	G	107	174	214
56	Blues	7	Sequential	0	5	H	66	146	198
57	Blues	7	Sequential	0	6	J	33	113	181
58	Blues	7	Sequential	0	7	L	8	69	148
59	Blues	8	Sequential	0	1	A	247	251	255
60	Blues	8	Sequential	0	2	C	222	235	247
61	Blues	8	Sequential	0	3	D	198	219	239
62	Blues	8	Sequential	0	4	F	158	202	225
63	Blues	8	Sequential	0	5	G	107	174	214
64	Blues	8	Sequential	0	6	H	66	146	198
65	Blues	8	Sequential	0	7	J	33	113	181
66	Blues	8	Sequential	0	8	L	8	69	148
67	Blues	9	Sequential	0	1	A	247	251	255
68	Blues	9	Sequential	0	2	C	222	235	247
69	Blues	9	Sequential	0	3	D	198	219	239
70	Blues	9	Sequential	0	4	F	158	202	225
71	Blues	9	Sequential	0	5	G	107	174	214
72	Blues	9	Sequential	0	6	H	66	146	198
73	Blues	9	Sequential	0	7	J	33	113	181
74	Blues	9	Sequential	0	8	K	8	81	156
75	Blues	9	Sequential	0	9	M	8	48	107
139	BuGn	3	Sequential	6	1	C	229	245	249
140	BuGn	3	Sequential	6	2	F	153	216	201
141	BuGn	3	Sequential	6	3	I	44	162	95
142	BuGn	4	Sequential	6	1	B	237	248	251
143	BuGn	4	Sequential	6	2	E	178	226	226
144	BuGn	4	Sequential	6	3	G	102	194	164
145	BuGn	4	Sequential	6	4	J	35	139	69
146	BuGn	5	Sequential	6	1	B	237	248	251
147	BuGn	5	Sequential	6	2	E	178	226	226
148	BuGn	5	Sequential	6	3	G	102	194	164
149	BuGn	5	Sequential	6	4	I	44	162	95
150	BuGn	5	Sequential	6	5	K	0	109	44
151	BuGn	6	Sequential	6	1	B	237	248	251
152	BuGn	6	Sequential	6	2	D	204	236	230
153	BuGn	6	Sequential	6	3	F	153	216	201
154	BuGn	6	Sequential	6	4	G	102	194	164
155	BuGn	6	Sequential	6	5	I	44	162	95
156	BuGn	6	Sequential	6	6	K	0	109	44
157	BuGn	7	Sequential	6	1	B	237	248	251
158	BuGn	7	Sequential	6	2	D	204	236	230
159	BuGn	7	Sequential	6	3	F	153	216	201
160	BuGn	7	Sequential	6	4	G	102	194	164
161	BuGn	7	Sequential	6	5	H	65	174	118
162	BuGn	7	Sequential	6	6	J	35	139	69
163	BuGn	7	Sequential	6	7	L	0	88	36
164	BuGn	8	Sequential	6	1	A	247	252	253
165	BuGn	8	Sequential	6	2	C	229	245	249
166	BuGn	8	Sequential	6	3	D	204	236	230
167	BuGn	8	Sequential	6	4	F	153	216	201
168	BuGn	8	Sequential	6	5	G	102	194	164
169	BuGn	8	Sequential	6	6	H	65	174	118
170	BuGn	8	Sequential	6	7	J	35	139	69
171	BuGn	8	Sequential	6	8	L	0	88	36
172	BuGn	9	Sequential	6	1	A	247	252	253
173	BuGn	9	Sequential	6	2	C	229	245	249
174	BuGn	9	Sequential	6	3	D	204	236	230
175	BuGn	9	Sequential	6	4	F	153	216	201
176	BuGn	9	Sequential	6	5	G	102	194	164
177	BuGn	9	Sequential	6	6	H	65	174	118
178	BuGn	9	Sequential	6	7	J	35	139	69
179	BuGn	9	Sequential	6	8	K	0	109	44
180	BuGn	9	Sequential	6	9	M	0	68	27
181	BuPu	3	Sequential	6	1	C	224	236	244
182	BuPu	3	Sequential	6	2	F	158	188	218
